n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
105001,-,0.00700,0.00600,0.35453,0.35804,0.34855
106001,-,0.00650,0.00601,0.36804,0.35354,0.36304
107001,-,0.00600,0.00600,0.36604,0.36254,0.36254
108001,-,0.00650,0.00701,0.37603,0.37605,0.39056
109001,-,0.00650,0.00650,0.38155,0.37905,0.38004
110001,-,0.00751,0.00600,0.38857,0.38504,0.38404
111001,-,0.00700,0.00650,0.39655,0.38755,0.38504
112001,-,0.00600,0.00600,0.39105,0.39855,0.39655
113001,-,0.00700,0.00600,0.39255,0.40054,0.39757
114001,-,0.00700,0.00650,0.41457,0.41458,0.40555
115001,-,0.00650,0.00600,0.41455,0.41504,0.41056
116001,-,0.00648,0.00550,0.41905,0.41656,0.42654
117001,-,0.00650,0.00600,0.41905,0.42806,0.41855
118001,-,0.00650,0.00550,0.43405,0.42656,0.43156
119001,-,0.00701,0.00649,0.43655,0.42955,0.43355
120001,-,0.00650,0.00550,0.43804,0.43705,0.42955
121001,-,0.00700,0.00650,0.44707,0.44504,0.44504
122001,-,0.00650,0.00551,0.45904,0.45406,0.44754
123001,-,0.00700,0.00600,0.46206,0.45804,0.47456
124001,-,0.00750,0.00601,0.46407,0.46205,0.46805
125001,-,0.00651,0.00650,0.47305,0.49107,0.49964
126001,-,0.00700,0.00650,0.48206,0.47656,0.47256
127001,-,0.00600,0.00600,0.48858,0.48107,0.48806
128001,-,0.00650,0.00600,0.50407,0.49260,0.48805
129001,-,0.00750,0.00650,0.49455,0.49655,0.49455
130001,-,0.00700,0.00600,0.49858,0.49955,0.50106
131001,-,0.00751,0.00650,0.50956,0.51155,0.50455
132001,-,0.00650,0.00600,0.52206,0.51155,0.51956
133001,-,0.00700,0.00650,0.53106,0.52506,0.51708
134001,-,0.00698,0.00600,0.52661,0.53006,0.53006
135001,-,0.00700,0.00600,0.53257,0.53006,0.54058
136001,-,0.00650,0.00650,0.54456,0.53557,0.53959
137001,-,0.00650,0.00600,0.54912,0.54908,0.55105
138001,-,0.00652,0.00651,0.55456,0.55857,0.56755
139001,-,0.00600,0.00601,0.56458,0.57808,0.57161
140001,-,0.00700,0.00600,0.57356,0.56806,0.57457
141001,-,0.00650,0.00600,0.57956,0.56757,0.58225
142001,-,0.00749,0.00600,0.58407,0.58606,0.57756
143001,-,0.00650,0.00700,0.59607,0.59856,0.59357
144001,-,0.00700,0.00650,0.60109,0.59656,0.60006
145001,-,0.00600,0.00600,0.61506,0.60306,0.61406
146001,-,0.00650,0.00601,0.61257,0.62307,0.62358
147001,-,0.00648,0.00650,0.61756,0.63957,0.61710
148001,-,0.00750,0.00650,0.62908,0.62257,0.62956
149001,-,0.00650,0.00650,0.63409,0.64557,0.62907
150001,-,0.00750,0.00600,0.64711,0.64356,0.64508
151001,-,0.00652,0.00600,0.65506,0.65408,0.64807
152001,-,0.00651,0.00650,0.66758,0.65907,0.65756
153001,-,0.00652,0.00648,0.67056,0.66757,0.66358
154001,-,0.00751,0.00700,0.67959,0.67008,0.68358
155001,-,0.00600,0.00650,0.68760,0.69661,0.68307
156001,-,0.00700,0.00650,0.69265,0.68157,0.69708
157001,-,0.00700,0.00650,0.69257,0.70207,0.69010
158001,-,0.00700,0.00650,0.71807,0.70858,0.72058
159001,-,0.00700,0.00700,0.70507,0.71962,0.71060
160001,-,0.00700,0.00650,0.73108,0.71858,0.72388
161001,-,0.00700,0.00650,0.74410,0.74108,0.73058
162001,-,0.00750,0.00650,0.73908,0.73810,0.73658
163001,-,0.00650,0.00600,0.74509,0.74671,0.76058
164001,-,0.00650,0.00600,0.76058,0.76960,0.75659
165001,-,0.00650,0.00650,0.78762,0.76107,0.76761
166001,-,0.00700,0.00550,0.76510,0.78260,0.76308
167001,-,0.00750,0.00750,0.77709,0.76810,0.78709
168001,-,0.00750,0.00602,0.79461,0.77810,0.79008
169001,-,0.00751,0.00650,0.79009,0.80159,0.80758
170001,-,0.00750,0.00600,0.80509,0.80359,0.81060
171001,-,0.00650,0.00550,0.81209,0.81910,0.81861
172001,-,0.00650,0.00700,0.82859,0.82309,0.83009
173001,-,0.00803,0.00648,0.82712,0.84058,0.84060
174001,-,0.00600,0.00600,0.84509,0.85910,0.84259
175001,-,0.00650,0.00600,0.86160,0.84210,0.84961
176001,-,0.00700,0.00650,0.84712,0.86258,0.85510
177001,-,0.00700,0.00650,0.88959,0.86909,0.90811
178001,-,0.00750,0.00651,1.04560,1.07914,1.02911
179001,-,0.00700,0.00650,1.69767,1.66271,1.70418
180001,-,0.00650,0.00700,2.12974,2.15423,2.16574
181001,-,0.00650,0.00650,2.57980,2.60878,2.59677
182001,-,0.00700,0.00700,3.04134,3.04181,3.02732
183001,-,0.00750,0.00650,3.45787,3.46888,3.43838
184001,-,0.00800,0.00650,3.58542,3.59190,3.62539
185001,-,0.00750,0.00701,3.70437,3.71987,3.72591
186001,-,0.00700,0.00651,3.86247,3.84542,3.91945
187001,-,0.00700,0.00650,4.01943,4.01444,4.00343
188001,-,0.00751,0.00652,4.14227,4.22094,4.15594
189001,-,0.00750,0.00700,4.27522,4.31594,4.28845
190001,-,0.00750,0.00650,4.49848,4.44695,4.43199
191001,-,0.00701,0.00650,4.59897,4.59053,4.58999
192001,-,0.00650,0.00600,4.78153,4.69350,4.74351
193001,-,0.00700,0.00650,4.84601,4.84906,4.87907
194001,-,0.00700,0.00700,4.91901,5.00702,5.01455
195001,-,0.00750,0.00650,5.08958,5.10755,5.10110
196001,-,0.00700,0.00600,5.25659,5.27468,5.28957
197001,-,0.00801,0.00600,5.41559,5.41764,5.45409
198001,-,0.00702,0.00699,5.54612,5.61011,5.63408
199001,-,0.00751,0.00649,5.74717,5.69867,5.73411
200001,-,0.00754,0.00649,5.89412,5.97419,5.84511
201001,-,0.00650,0.00650,5.99814,5.99022,6.00761
202001,-,0.00800,0.00600,6.15971,6.19014,6.17576
203001,-,0.00750,0.00651,6.39623,6.32326,6.32320
