n,Iterative C,Recursive C,Dynamic Programming C,Iterative P,Recursive P,Dynamic Programming P
104,-,0.00600,0.00550,0.04850,0.04950,0.04901
105,-,0.00550,0.00550,0.04904,0.04900,0.04851
106,-,0.00600,0.00600,0.04901,0.04900,0.04801
107,-,0.00550,0.00550,0.04900,0.04851,0.04900
108,-,0.00550,0.00550,0.04897,0.04900,0.04901
109,-,0.00600,0.00500,0.04900,0.05001,0.04900
110,-,0.00550,0.00601,0.05201,0.05250,0.05151
111,-,0.00600,0.00600,0.05001,0.04900,0.04901
112,-,0.00550,0.00550,0.04850,0.04901,0.04900
113,-,0.00550,0.00550,0.04851,0.05000,0.04801
114,-,0.00500,0.00550,0.04900,0.04851,0.04850
115,-,0.00600,0.00550,0.04801,0.04850,0.04951
116,-,0.00600,0.00550,0.04901,0.04951,0.05050
117,-,0.00651,0.00550,0.04900,0.04851,0.04850
118,-,0.00600,0.00600,0.04851,0.04850,0.04801
119,-,0.00600,0.00550,0.04900,0.04851,0.04800
120,-,0.00550,0.00550,0.04851,0.04900,0.04901
121,-,0.00550,0.00550,0.04850,0.04901,0.04850
122,-,0.00550,0.00550,0.05002,0.04851,0.04850
123,-,0.00550,0.00550,0.05051,0.04850,0.05901
124,-,0.00600,0.00500,0.04900,0.04801,0.04850
125,-,0.00600,0.00500,0.04951,0.04900,0.04901
126,-,0.00600,0.00550,0.04850,0.04901,0.04900
127,-,0.00551,0.00550,0.04851,0.04901,0.04850
128,-,0.00550,0.00550,0.04850,0.05001,0.04851
129,-,0.00551,0.00550,0.04800,0.04901,0.04900
130,-,0.00600,0.00500,0.04801,0.04951,0.04839
131,-,0.00597,0.00550,0.04800,0.04851,0.04850
132,-,0.00550,0.00551,0.04850,0.04850,0.04901
133,-,0.00500,0.00600,0.04900,0.04801,0.04850
134,-,0.00551,0.00550,0.04851,0.04900,0.05001
135,-,0.00600,0.00500,0.04900,0.04901,0.05050
136,-,0.00601,0.00500,0.04850,0.04803,0.04948
137,-,0.00550,0.00500,0.04901,0.04900,0.04901
138,-,0.00600,0.00550,0.05000,0.04901,0.04900
139,-,0.00600,0.00550,0.04801,0.04900,0.04901
140,-,0.00650,0.00550,0.04850,0.04900,0.04800
141,-,0.00600,0.00600,0.04901,0.04901,0.05054
142,-,0.00597,0.00550,0.05152,0.05200,0.05001
143,-,0.00600,0.00550,0.04900,0.04851,0.04850
144,-,0.00550,0.00600,0.04901,0.04900,0.04901
145,-,0.00550,0.00500,0.04850,0.04850,0.04850
146,-,0.00600,0.00550,0.04901,0.04850,0.04801
147,-,0.00600,0.00550,0.04901,0.05050,0.04902
148,-,0.00600,0.00550,0.04800,0.05001,0.04900
149,-,0.00550,0.00550,0.04851,0.04850,0.04951
150,-,0.00550,0.00550,0.04850,0.04851,0.04900
151,-,0.00550,0.00601,0.04901,0.04850,0.04901
152,-,0.00600,0.00550,0.04850,0.04951,0.04850
153,-,0.00600,0.00551,0.04850,0.04850,0.04952
154,-,0.00600,0.00551,0.04901,0.04850,0.04951
155,-,0.00550,0.00550,0.04950,0.04901,0.04900
156,-,0.00600,0.00550,0.04901,0.04850,0.04851
157,-,0.00600,0.00500,0.04800,0.04851,0.04750
158,-,0.00550,0.00600,0.04851,0.04950,0.04951
159,-,0.00600,0.00550,0.04800,0.04951,0.04901
160,-,0.00603,0.00550,0.04850,0.04851,0.04850
161,-,0.00550,0.00600,0.05052,0.04900,0.04902
162,-,0.00550,0.00550,0.04800,0.04851,0.04850
163,-,0.00552,0.00548,0.04901,0.04900,0.04851
164,-,0.00600,0.00550,0.04850,0.04951,0.04950
165,-,0.00650,0.00550,0.04801,0.04950,0.04901
166,-,0.00600,0.00500,0.04851,0.05000,0.04851
167,-,0.00550,0.00600,0.04850,0.05001,0.04950
168,-,0.00550,0.00550,0.04851,0.04850,0.04851
169,-,0.00600,0.00550,0.04900,0.04851,0.04900
170,-,0.00550,0.00500,0.04851,0.04850,0.04851
171,-,0.00550,0.00550,0.04850,0.04851,0.04850
172,-,0.00600,0.00551,0.04850,0.04850,0.04901
173,-,0.00550,0.00550,0.04901,0.05050,0.05053
174,-,0.00600,0.00700,0.05350,0.04901,0.04900
175,-,0.00550,0.00550,0.04851,0.04850,0.04901
176,-,0.00550,0.00550,0.04900,0.04901,0.04850
